Irkutsk	-17.868413419704147;-14.818075863530408;-4.058993359638149;4.446135481945688;10.052986512524084;16.702831594634873;19.007114700509565;16.568968834166988;9.51157476403378;1.1768046198267565;-9.55970965496669;-14.991699642891612,77.0234593444859;72.1982570459864;64.21700317582616;54.736814881130364;56.33517341040507;67.38084749130601;75.87884818767328;80.40948441708248;79.39738201688915;73.44304619826755;78.92788107785795;81.34948364057762
Kalgoorlie	25.900164936450956;25.246857258718574;23.141148552444232;19.50566558281604;14.449851802275552;12.194457948468644;11.716965592972182;12.680336872940314;16.019032669479053;19.920661464139727;22.387099838510498;25.44500643737355,40.894467837391836;46.90706204379546;49.87126720455599;51.02690412848543;56.134313031838644;64.9643694701016;64.58860724743768;58.684978030025924;44.25101932698913;42.19809921962083;40.560853994490216;36.67544141990035
Kolkata	18.89258006763477;23.165111039588027;27.485953144745796;30.05591742659585;30.50832517140059;30.239884393063583;29.452886657655917;29.41267700606878;29.43562081710119;28.210490856592877;24.41078963230862;19.865120868278243,71.14833797493415;65.82967492758263;64.58272868669202;70.48595951498233;75.99059941234106;81.68887283237218;86.54557733153304;86.73116173779458;84.88654280292036;80.11329836381202;71.66723327305633;74.00230291070532
Kunming	8.371864145117716;9.905608465608466;14.395040369088813;16.368619662363457;19.416938736316496;20.04446208813021;19.151555897041874;19.154599577491837;17.826518459706232;15.01672433679354;11.873981315841782;8.68602856040139,69.46282323427296;63.2744275132275;51.898735101883865;59.423843098311664;60.981824467063866;76.43737197300487;82.38117940837458;82.46143844824257;82.57861849940427;82.06834294502077;74.85673027231194;75.93843303743735
Mangalore	26.953844299831285;27.775052192066806;28.87620441517258;29.878456765142317;29.21216249690364;26.54400836042731;26.0857336496103;26.02563825183903;26.513641886667404;27.016983550523392;27.76092350846909;27.492011772125288,66.40384912027092;67.2722599164938;70.4412745456763;70.74512343180908;74.7605536289342;86.59930213655474;87.82904778041342;87.90768065772404;84.83279023528226;81.93050843836828;74.42551731578384;69.2514200126129
Moscow	-5.667690663817283;-4.483696426028763;0.24867724867724866;7.255491471346177;14.412154310945851;18.506204071798578;19.70811318539392;18.791499882269836;12.774295432458699;6.187353340743485;0.33620689655172414;-3.37309082429754,86.12413917456946;81.10413356115649;71.06926807760202;62.70975211682445;64.03305368347631;67.10936634140403;73.0972549019599;72.3313656698841;78.07814990281724;79.62117697912807;87.33452023987998;88.54428354902768
Nanjing	4.082770596179818;6.616800677105375;11.574038461538462;16.854617676266137;21.991162343900097;25.12986497220016;28.3130284396618;28.67371252882398;24.12090530077427;17.77805582290664;12.046331278584212;5.765875313646014,77.80322593092811;74.35773592890446;72.19911730769269;71.10878649453792;73.15352737752121;79.32850675139012;81.10494811683323;77.94961760184502;78.6277824101651;78.55371318575543;78.35069795187877;76.35919706620366
Novosibirsk	-16.854132431126146;-12.550987890376035;-5.133481110254433;5.733585732788682;12.195133725982428;17.979000796178344;19.11880234909021;17.359626312241165;10.407131505760827;2.893669390568081;-8.205876494023904;-12.417505809450038,77.12276655389304;76.97855852984992;74.25480724749481;61.56982066354471;56.51745389591612;66.13874502388501;74.94073168383431;74.30747760762742;73.97107568533951;75.3058373535492;80.26419123506163;80.25045313710524
SKAGWAY	-0.8499157758341261;-1.4145551156490948;1.3265573198394627;5.968758558558556;11.068085266930789;13.536247762262848;14.940270402345647;14.389348854128727;11.036268682065204;6.651672687861279;1.3985351923399936;-0.8233199356913251,70.43084062196311;66.91261304438406;65.64426627115692;66.36036036036059;65.79717034521799;71.9169781596851;76.78813650431692;77.93546562386359;80.04539911684819;77.23852239884471;75.82224256677308;76.84623311897077
Shanghai	6.3036972680760694;7.397121083827265;11.156836332146638;15.998609731876861;20.84431425278525;24.050844091360478;28.110790813875276;28.652675055230045;24.968228752978554;19.993267288640954;14.721570576540756;8.559393997877063,72.93146153103618;72.82290643522462;75.24153083806337;73.55900893743814;76.60003457548883;83.8930446871892;82.31746228500185;80.59597060801461;78.8515150913418;73.81697508896664;74.89136282306036;71.87925021711811
Sochi	6.646298814843599;7.614079728583546;9.443182911575098;12.357646825002485;17.494759111453025;22.471020976240183;24.40776699029126;25.27701469599462;21.39304865938431;16.09138180067405;11.362827434513097;7.860684997588037,71.90313095006842;71.77322731128085;71.97757625324647;71.28589784358466;74.7323752283862;74.25016005566954;74.18371431317789;72.2928402651037;72.44239821251158;74.15361097737025;71.724677064586;71.7180540279792
Townsville	27.876299653425754;28.034054834054835;27.374716810149526;25.6073512252042;22.99045747965198;21.036464830630457;20.342728608152772;21.037102473498233;23.156171769689966;25.48750348415869;27.105731611893585;28.076375404530744,76.52699813383057;76.9773458393467;77.01078840054346;72.00135258654015;71.24306951071037;71.03314557144165;72.16080609621667;69.00259903291777;68.62389562872968;69.92710675462115;67.73803403755942;70.64477207582141
Volgograd	-5.3955491049830675;-3.696366140480983;1.6274434280211845;9.64937263493328;17.106356380421193;22.9247311827957;25.14156260360261;23.85549132947977;16.752612200218927;8.774257036016532;1.231435397173004;-3.338771963699556,89.15934494436473;84.88139315605481;75.71214347616889;62.122633937463064;60.91149822098245;48.46025985663044;47.82344015913282;43.439139924257034;53.9615275151756;68.8999931115921;80.91637666732893;89.08265977988093
Weipa	26.972531444267744;27.06314076484947;26.799164428528798;26.877994839660893;26.130621384586675;25.043351477449455;24.705753823743628;25.33166368515206;26.627239488117002;27.956111715632936;28.94282490126011;27.754579348354678,84.92634523637417;85.11414808787688;84.96780214861319;77.55528566163102;72.75579585743728;71.06928071539663;68.62615076474908;64.88848837209281;60.68966361974339;62.561893362350226;65.66147639646441;78.60526017182669
Zacatecas	11.440469066229326;13.978103744258823;16.14812636349238;18.46020028660636;20.54613709168075;20.038002380754172;18.72783020400208;18.890304790431685;17.667317433816912;16.46511004334488;14.131752894592626;11.939691106230757,46.534267931293;40.31458531375914;37.139092708115115;28.914769813987387;33.7783866224556;51.822943690100416;60.33198260866061;59.90644560138261;67.08407291559827;60.91224459188135;54.70877830223765;49.464668960437095
